

    0.155364019971409217E-98   -0.381468347019641124E+04    0.955505246240533523E+01   -0.487461914544118358E-01    0.137185184049934410E+02    0.153441063900452885E+02    0.122918489192958432E+03    0.595514338123813783E-01    0.218183138234920955E-02
    0.770537251053137190E-98   -0.381790610443796777E+04    0.812197181786522648E+01    0.165190804844228634E+01    0.115559581042853097E+02    0.146422731208126056E+02    0.150405912133645927E+03    0.621530745199444512E-01    0.140967269737595109E-02
    0.213003326170219320E-97   -0.381995971418639874E+04    0.840494913853320824E+01    0.198774235772212826E+01    0.899923002197325701E+02    0.730308612063629781E+01    0.839224880713826167E+02    0.935207261423985914E-01    0.173349254743835127E-02
    0.226503144846296588E-97   -0.382010261628229409E+04    0.759286571858248216E+01    0.308829199521754916E+00    0.230086764851488212E+00    0.540247838193874053E+01    0.122758284641901966E+03    0.480315412154961874E-01    0.256655263981752160E-02
    0.467723355436402323E-97   -0.382157285262412734E+04    0.689567653596999453E+01    0.808962042749936217E+00    0.390644817501539805E+02    0.125569551251346958E+02    0.134669743624322848E+03    0.341701279498767621E-01    0.173359139967191496E-02
    0.122484055729483073E-96   -0.382351823053797307E+04    0.910252322047255547E+01    0.200896021363608757E+01    0.146868105704197404E+03    0.800211817806411396E+01    0.125565015134601396E+03    0.816042936635848343E-01    0.151805874989500858E-02
    0.157773491305641404E-96   -0.382404458961978435E+04    0.861197064902793130E+01    0.182548765683887204E+01    0.199536545713121797E+03    0.120887211371972914E+02    0.115394941722930824E+03    0.807316061306985466E-01    0.188012313083730717E-02
    0.194496426556397352E-96   -0.382448309639042463E+04    0.784870317423533592E+01    0.364207815940001289E+00    0.149570850545834787E+03    0.138643385596012116E+02    0.948223144240386944E+02    0.878327386766910717E-01    0.149370986224707145E-02
    0.221665148751327366E-96   -0.382476460461801844E+04    0.873806522334196423E+01    0.139623937325870084E+01    0.131214557910638661E+03    0.985169171401635602E+01    0.131659840092940243E+03    0.778792106667893780E-01    0.239476896478949290E-02
    0.278774205140906065E-96   -0.382524307311674784E+04    0.912252580434066651E+01    0.788382872884619168E+00    0.189615386558895915E+01    0.788052866445376754E+01    0.850676107442317857E+02    0.736779964353879990E-01    0.257542629997091748E-02
